hospital_name,last_updated_on,hospital_address,description,payer_name,plan_name,estimated_amount,standard_charge|min,standard_charge|max
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Disorders Of Pancreas Except Malignancy With Mcc,Aetna,Commercial,49171.25,16229.91,49171.25
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Disorders Of Pancreas Except Malignancy Without Cc/Mcc,Aetna,Commercial,6897.92,6897.92,6897.92
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Disorders Of The Biliary Tract With Cc,Vns,Medicare Advantage,10468.58,10468.58,10468.58
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Disorders Of The Biliary Tract Without Cc/Mcc,Empire,Ppo,21638.77,21638.77,21638.77
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Bilateral Or Multiple Major Joint Procedures Of Lower Extremity Without Mcc,Fidelis,Medicaid,3279.69,3279.69,3279.69
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Wound Debridement And Skin Graft Except Hand For Musculoskeletal And Connective Tissue Disorders Wit,Emblem,Medicaid,13253.76,3099,40886.45
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Revision Of Hip Or Knee Replacement With Mcc,Fidelis,Medicaid,14909.74,14846.16,14909.74
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Major Hip And Knee Joint Replacement Or Reattachment Of Lower Extremity With Mcc Or Total Ankle Repl,Fidelis,Medicaid,13760.06,13760.06,13760.06
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Major Hip And Knee Joint Replacement Or Reattachment Of Lower Extremity Without Mcc,Healthfirst,Medicaid,6924.25,6924.25,6924.25
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002","Lower Extremity And Humerus Procedures Except Hip, Foot And Femur With Cc",Aetna,Medicare Advantage,11221.46,11221.46,11221.46
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Soft Tissue Procedures With Cc,Healthfirst,Medicaid,4176.12,4176.12,4176.12
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Osteomyelitis With Mcc,Aetna,Medicare Advantage,12528.9,12528.9,12528.9
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Pathological Fractures And Musculoskeletal And Connective Tissue Malignancy With Mcc,Healthfirst,Medicare Advantage,4138.58,4138.58,4138.58
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Connective Tissue Disorders With Mcc,Empire,Medicare Advantage,24181.85,24181.85,24181.85
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Medical Back Problems With Mcc,Humana,Medicare Advantage,16825.76,16825.76,16825.76
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Bone Diseases And Arthropathies Without Mcc,Emblem,Ppo,23048,23048,23048
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Signs And Symptoms Of Musculoskeletal System And Connective Tissue Without Mcc,Humana,Medicare Advantage,8322.89,8322.89,8322.89
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002","Tendonitis, Myositis And Bursitis With Mcc",Humana,Medicare Advantage,15328.51,15328.51,15328.51
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002","Tendonitis, Myositis And Bursitis Without Mcc",Aetna,Commercial,27407.5,21804,27407.5
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002","Aftercare, Musculoskeletal System And Connective Tissue With Cc",Emblem,Ppo,31436,31436,31436
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002","Fracture, Sprain, Strain And Dislocation Except Femur, Hip, Pelvis And Thigh Without Mcc",Aetna,Medicare Advantage,6615.22,6615.22,9033.27
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Other Musculoskeletal System And Connective Tissue Diagnoses With Cc,Wellcare,Medicare Advantage,1945,1945,1945
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Skin Debridement With Cc,Empire,Ppo,36408.18,36408.18,36408.18
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Major Skin Disorders With Mcc,United Healthcare,Medicare Advantage,21123.85,21123.85,21123.85
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Major Skin Disorders Without Mcc,Empire,Hmo,28298,28298,28298
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Cellulitis With Mcc,Empire,Ppo,8588,8588,49403.01
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Cellulitis Without Mcc,Aetna,Commercial,29723.98,1387.5,29723.98
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Minor Skin Disorders Without Mcc,Cigna,Hmo,18469,18469,18469
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Diabetes With Mcc,Aetna,Medicare Advantage,14181.94,1575,40297
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Diabetes With Cc,Aetna,Commercial,23310.62,9139.96,24725
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Diabetes Without Cc/Mcc,Empire,Hmo,17574,17074,26607.94
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002","Miscellaneous Disorders Of Nutrition, Metabolism, Fluids And Electrolytes With Mcc",Aetna,Medicare Advantage,12949.92,1800,33535.27
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002","Miscellaneous Disorders Of Nutrition, Metabolism, Fluids And Electrolytes Without Mcc",Aetna,Commercial,16576.06,1480,16576.06
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Endocrine Disorders With Mcc,Empire,Ppo,46138,1875,46138
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Endocrine Disorders With Cc,1199 Seiu,Commercial,21745.74,8362.39,21745.74
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Endocrine Disorders Without Cc/Mcc,Aetna,Commercial,25724.68,25724.68,25724.68
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Kidney And Ureter Procedures For Non-Neoplasm With Cc,Wellcare,Medicare Advantage,1575,1575,1575
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Minor Bladder Procedures With Mcc,Metroplus,Medicaid,12845.29,12845.29,12845.29
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Renal Failure With Mcc,Aetna,Medicare Advantage,10742.78,10200.78,14871.77
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Renal Failure With Cc,Aetna,Commercial,28204.51,1511.5,28204.51
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Renal Failure Without Cc/Mcc,Fidelis,Medicare Advantage,6320.13,6320.13,6320.13
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Kidney And Urinary Tract Infections With Mcc,Elderplan,Medicare Advantage,11623.49,1575,11623.49
Mount Sinai Behavioral Health Center,9/22/2025,"45 Rivington Street, New York, NY 10002",Kidney And Urinary Tract Infections Without Mcc,Cigna,Hmo,12339.88,1480,22654.8
